Id,Name,DisplayName,PlantName,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,Operator,LastUpdatedAt,Source,IAEAId,WnaUrl
24,ATUCHA-1,Atucha-1,Atucha,-33.9668486,-59.20821123,Argentina,AR,Operational,PHWR,PHWR KWU,1968-05-31,1974-06-24,,319,Nucleoelectrica Argentina S.A.,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,3,https://world-nuclear.org/nuclear-reactor-database/details/atucha-1
25,ATUCHA-2,Atucha-2,Atucha,-33.96717886,-59.20327313,Argentina,AR,Operational,PHWR,PHWR KWU,1981-07-13,2016-05-26,,692,Nucleoelectrica Argentina S.A.,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,5,https://world-nuclear.org/nuclear-reactor-database/details/atucha-2
113,CAREM25,Carem25,Carem-25,-33.96784144,-59.21300846,Argentina,AR,Under Construction,PWR,CAREM Prototype (Integrated-PWR),2015-08-25,,,25,Comision Nacional De Energia Atomica,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,1055,https://world-nuclear.org/nuclear-reactor-database/details/carem25
114,EMBALSE,Embalse,Embalse,-32.2315,-64.4423,Argentina,AR,Operational,PHWR,CANDU 6,1974-03-31,1984-01-20,,608,Nucleoelectrica Argentina S.A.,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/embalse
115,ARMENIAN-1,Armenian-1,Armenian,40.1818,44.1472,Armenia,AM,Shutdown,PWR,VVER V-270,1969-07-01,1977-10-06,1989-02-25,376,Closed Joint Stock Company Armenian Npp,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/armenian-1
116,ARMENIAN-2,Armenian-2,Armenian,40.1813,44.1472,Armenia,AM,Operational,PWR,VVER V-270,1975-07-01,1980-05-03,,375,Closed Joint Stock Company Armenian Npp,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/armenian-2
117,ROOPPUR-1,Rooppur-1,Rooppur,24.06666,89.047222,Bangladesh,BD,Under Construction,PWR,VVER V-523,2017-11-30,,,1080,Nuclear Power Plant Company Bangladesh Limited,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/rooppur-1
118,ROOPPUR-2,Rooppur-2,Rooppur,24.06666,89.048222,Bangladesh,BD,Under Construction,PWR,VVER V-523,2018-07-14,,,1080,Nuclear Power Plant Company Bangladesh Limited,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/rooppur-2
119,BELARUSIAN-1,Ostrovets 1,Ostrovets,54.76198578,26.09694308,Belarus,BY,Operational,PWR,VVER V-491,2013-11-08,2021-06-10,,1110,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/ostrovets-1
120,BELARUSIAN-2,Ostrovets 2,Ostrovets,54.75981689,26.09657267,Belarus,BY,Operational,PWR,VVER V-491,2014-04-27,2023-11-01,,1110,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/ostrovets-2
